date,open,high,low,close,volume,dividend,split
2017-01-03,115.80000305175781,116.33000183105469,114.76000213623047,116.1500015258789,28781900,0,0
2017-01-04,115.8499984741211,116.51000213623047,115.75,116.0199966430664,21118100,0,0
2017-01-05,115.91999816894531,116.86000061035156,115.80999755859375,116.61000061035156,22193600,0,0
2017-01-06,116.77999877929688,118.16000366210938,116.47000122070312,117.91000366210938,31751900,0,0
2017-01-09,117.94999694824219,119.43000030517578,117.94000244140625,118.98999786376953,33561900,0,0
2017-01-10,118.7699966430664,119.37999725341797,118.30000305175781,119.11000061035156,24462100,0,0
2017-01-11,118.73999786376953,119.93000030517578,118.5999984741211,119.75,27588600,0,0
2017-01-12,118.9000015258789,119.30000305175781,118.20999908447266,119.25,27086200,0,0
2017-01-13,119.11000061035156,119.62000274658203,118.80999755859375,119.04000091552734,26111900,0,0
2017-01-17,118.33999633789062,120.23999786376953,118.22000122070312,120.0,34439800,0,0
2017-01-18,120.0,120.5,119.70999908447266,119.98999786376953,23713000,0,0
2017-01-19,119.4000015258789,120.08999633789062,119.37000274658203,119.77999877929688,25597300,0,0
2017-01-20,120.44999694824219,120.44999694824219,119.7300033569336,120.0,32597900,0,0
2017-01-23,120.0,120.80999755859375,119.7699966430664,120.08000183105469,22050200,0,0
2017-01-24,119.55000305175781,120.0999984741211,119.5,119.97000122070312,23211000,0,0
2017-01-25,120.41999816894531,122.0999984741211,120.27999877929688,121.87999725341797,32377600,0,0
2017-01-26,121.66999816894531,122.44000244140625,121.5999984741211,121.94000244140625,26337600,0,0
2017-01-27,122.13999938964844,122.3499984741211,121.5999984741211,121.94999694824219,20562900,0,0
2017-01-30,120.93000030517578,121.62999725341797,120.66000366210938,121.62999725341797,30377500,0,0
2017-01-31,121.1500015258789,121.38999938964844,120.62000274658203,121.3499984741211,49201000,0,0
2017-02-01,127.02999877929688,130.49000549316406,127.01000213623047,128.75,111985000,0,0
2017-02-02,127.9800033569336,129.38999938964844,127.77999877929688,128.52999877929688,33710400,0,0
2017-02-03,128.30999755859375,129.19000244140625,128.16000366210938,129.0800018310547,24507300,0,0
2017-02-06,129.1300048828125,130.5,128.89999389648438,130.2899932861328,26845900,0,0
2017-02-07,130.5399932861328,132.08999633789062,130.4499969482422,131.52999877929688,38183800,0,0
2017-02-08,131.35000610351562,132.22000122070312,131.22000122070312,132.0399932861328,23004100,0,0
2017-02-09,131.64999389648438,132.4499969482422,131.1199951171875,132.4199981689453,28349900,0,0
2017-02-10,132.4600067138672,132.94000244140625,132.0500030517578,132.1199951171875,20065500,0,0
2017-02-13,133.0800018310547,133.82000732421875,132.75,133.2899932861328,23035400,0,0
2017-02-14,133.47000122070312,135.08999633789062,133.25,135.02000427246094,33226200,0,0
2017-02-15,135.52000427246094,136.27000427246094,134.6199951171875,135.50999450683594,35623100,0,0
2017-02-16,135.6699981689453,135.89999389648438,134.83999633789062,135.35000610351562,22584600,0,0
2017-02-17,135.10000610351562,135.8300018310547,135.10000610351562,135.72000122070312,22198200,0,0
2017-02-21,136.22999572753906,136.75,135.97999572753906,136.6999969482422,24507200,0,0
2017-02-22,136.42999267578125,137.1199951171875,136.11000061035156,137.11000061035156,20836900,0,0
2017-02-23,137.3800048828125,137.47999572753906,136.3000030517578,136.52999877929688,20788200,0,0
2017-02-24,135.91000366210938,136.66000366210938,135.27999877929688,136.66000366210938,21776600,0,0
2017-02-27,137.13999938964844,137.44000244140625,136.27999877929688,136.92999267578125,20257400,0,0
2017-02-28,137.0800018310547,137.44000244140625,136.6999969482422,136.99000549316406,23482900,0,0
2017-03-01,137.88999938964844,140.14999389648438,137.60000610351562,139.7899932861328,36414600,0,0
2017-03-02,140.0,140.27999877929688,138.75999450683594,138.9600067138672,26211000,0,0
2017-03-03,138.77999877929688,139.8300018310547,138.58999633789062,139.77999877929688,21108100,0,0
2017-03-06,139.3699951171875,139.77000427246094,138.60000610351562,139.33999633789062,21750000,0,0
2017-03-07,139.05999755859375,139.97999572753906,138.7899932861328,139.52000427246094,17446300,0,0
2017-03-08,138.9499969482422,139.8000030517578,138.82000732421875,139.0,18707200,0,0
2017-03-09,138.74000549316406,138.7899932861328,137.0500030517578,138.67999267578125,22155900,0,0
2017-03-10,139.25,139.36000061035156,138.63999938964844,139.13999938964844,19612800,0,0
2017-03-13,138.85000610351562,139.42999267578125,138.82000732421875,139.1999969482422,17421700,0,0
2017-03-14,139.3000030517578,139.64999389648438,138.83999633789062,138.99000549316406,15309100,0,0
2017-03-15,139.41000366210938,140.75,139.02999877929688,140.4600067138672,25691800,0,0
2017-03-16,140.72000122070312,141.02000427246094,140.25999450683594,140.69000244140625,19232000,0,0
2017-03-17,141.0,141.0,139.88999938964844,139.99000549316406,43885000,0,0
2017-03-20,140.39999389648438,141.5,140.22999572753906,141.4600067138672,21542000,0,0
2017-03-21,142.11000061035156,142.8000030517578,139.72999572753906,139.83999633789062,39529900,0,0
2017-03-22,139.85000610351562,141.60000610351562,139.75999450683594,141.4199981689453,25860200,0,0
2017-03-23,141.25999450683594,141.5800018310547,140.61000061035156,140.9199981689453,20346300,0,0
2017-03-24,141.5,141.74000549316406,140.35000610351562,140.63999938964844,22395600,0,0
2017-03-27,139.38999938964844,141.22000122070312,138.6199951171875,140.8800048828125,23575100,0,0
2017-03-28,140.91000366210938,144.0399932861328,140.6199951171875,143.8000030517578,33374800,0,0
2017-03-29,143.67999267578125,144.49000549316406,143.19000244140625,144.1199951171875,29190000,0,0
2017-03-30,144.19000244140625,144.5,143.5,143.92999267578125,21207300,0,0
2017-03-31,143.72000122070312,144.27000427246094,143.00999450683594,143.66000366210938,19661700,0,0
2017-04-03,143.7100067138672,144.1199951171875,143.0500030517578,143.6999969482422,19985700,0,0
2017-04-04,143.25,144.88999938964844,143.1699981689453,144.77000427246094,19891400,0,0
